codigo_aeronave,codigo_ocorrencia,matricula,codigo_operador,equipamento,fabricante,modelo,tipo_motor,quantidade_motores,peso_maximo_decolagem,quantidade_assentos,ano_fabricacao,pais_registro,categoria_registro,categoria_aviacao,origem_voo,destino_voo,fase_operacao,tipo_operacao,nivel_dano,quantidade_fatalidades,dia_extracao
34589,45388,N790AN,630,AVIÃO,"BOEING COMPANY",777-236,***,0,297560,0,0,BRASIL,***,***,****,****,POUSO,1,NENHUM,NULL,2015-06-19
34604,46431,N988AR,5915,AVIÃO,"MCDONNELL DOUGLAS",MD11,JATO,3,285990,0,0,BRASIL,***,***,****,****,POUSO,***,SUBSTANCIAL,NULL,2015-06-19
9186,27852,PPVQG,5105,AVIÃO,"MCDONNELL DOUGLAS",MD-11,JATO,3,280320,301,1993,BRASIL,TPR,REGULAR,****,****,"CORRIDA APÓS POUSO",REGULAR,SUBSTANCIAL,NULL,2015-06-19
9574,33715,PPVQY,5105,AVIÃO,"MCDONNELL DOUGLAS",DC-10-30F,JATO,3,259455,3,1974,PERU,TPR,REGULAR,****,****,DESCIDA,***,LEVE,NULL,2015-06-19
34590,45588,ECGLE,5907,AVIÃO,"AIRBUS INDUSTRIE",A340,JATO,2,237000,0,0,BRASIL,***,***,LEMD,SBGL,DESCIDA,REGULAR,NENHUM,NULL,2015-06-19
34568,40047,CSTOD,4844,AVIÃO,"AIRBUS INDUSTRIE",A340-541,JATO,4,237000,0,0,BRASIL,***,***,SBGL,SBGR,POUSO,REGULAR,NENHUM,NULL,2015-06-19
34568,45252,CSTOD,4844,AVIÃO,"AIRBUS INDUSTRIE",A340-541,JATO,4,237000,0,0,BRASIL,***,***,****,****,"DECOLAGEM - CORRIDA E SUBIDA INICIAL",1,LEVE,NULL,2015-06-19
9416,31635,PTMVL,4834,AVIÃO,"AIRBUS INDUSTRIE",A330-203,JATO,2,233000,242,2005,BRASIL,TPR,REGULAR,****,****,DESCIDA,***,***,NULL,2015-06-19
9416,49474,PTMVL,4834,AVIÃO,"AIRBUS INDUSTRIE",A330-203,JATO,2,233000,242,2005,"NÃO IDENTIFICADO",TPR,REGULAR,LEMD,SBGR,CRUZEIRO/MANOBRAS,REGULAR,NENHUM,NULL,2015-06-19
10225,37376,PTMVN,4834,AVIÃO,"AIRBUS INDUSTRIE",A330-223,JATO,2,233000,240,2007,BRASIL,TPR,REGULAR,****,****,DESCIDA,REGULAR,NENHUM,NULL,2015-06-19
34598,46073,N342AN,5355,AVIÃO,"BOEING COMPANY",767-328,JATO,2,186880,0,0,BRASIL,***,***,****,****,SUBIDA,***,LEVE,NULL,2015-06-19
34491,36576,N663UA,5049,AVIÃO,"BOEING COMPANY",B767,JATO,2,186880,0,0,BRASIL,***,***,****,****,SUBIDA,1,NENHUM,NULL,2015-06-19
34602,46307,N173DZ,1634,AVIÃO,"BOEING COMPANY",767-322,JATO,2,158760,0,0,BRASIL,***,***,****,****,"DECOLAGEM - CORRIDA E SUBIDA INICIAL",***,SUBSTANCIAL,NULL,2015-06-19
8969,31695,PPBRG,1000,AVIÃO,"BOEING COMPANY",707-323C,JATO,4,148327,7,1966,BRASIL,TPN,REGULAR,****,****,"DECOLAGEM - CORRIDA E SUBIDA INICIAL",REGULAR,***,NULL,2015-06-19
8969,24879,PPBRG,1061,AVIÃO,"BOEING COMPANY",707-323C,JATO,4,148327,7,1966,BRASIL,TPN,REGULAR,****,****,"DECOLAGEM - CORRIDA E SUBIDA INICIAL",REGULAR,LEVE,NULL,2015-06-19
