codigo_fator,codigo_ocorrencia,fator,aspecto,condicionante,area,detalhe_fator,dia_extracao
10721,22285,"POUCA EXPERIÊNCIA DO PILOTO",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10669,22179,"MANUTENÇÃO DE AERONAVE",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10667,22179,"MANUSEIO DO MATERIAL",MATERIAL,***,MATERIAL,,2015-06-19
10722,22285,"PLANEJAMENTO DE VOO",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10720,22285,"SUPERVISÃO GERENCIAL",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10668,22179,"SUPERVISÃO GERENCIAL",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10731,22359,"JULGAMENTO DE PILOTAGEM",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10729,22359,"CONDIÇÕES METEOROLÓGICAS ADVERSAS",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10732,22359,"POUCA EXPERIÊNCIA DO PILOTO",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10730,22359,"SUPERVISÃO GERENCIAL",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10728,22359,"INFLUÊNCIA DO MEIO AMBIENTE",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10733,22359,"PLANEJAMENTO DE VOO",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10726,22319,INSTRUÇÃO,OPERACIONAL,***,OPERACIONAL,,2015-06-19
10724,22319,"JULGAMENTO DE PILOTAGEM",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10727,22319,"INDISCIPLINA DE VOO",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10725,22319,"PLANEJAMENTO DE VOO",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10723,22319,"SUPERVISÃO GERENCIAL",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10865,24801,"MANUTENÇÃO DE AERONAVE",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10866,24801,INSTRUÇÃO,OPERACIONAL,***,OPERACIONAL,,2015-06-19
10864,24801,"APLICAÇÃO DE COMANDOS",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10752,22599,"PLANEJAMENTO DE VOO",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10753,22599,"OUTRO FATOR",***,***,***,"OUTROS ASPECTOS OPERACIONAIS",2015-06-19
10995,25579,"JULGAMENTO DE PILOTAGEM",OPERACIONAL,***,OPERACIONAL,,2015-06-19
11155,26722,"APLICAÇÃO DE COMANDOS",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10993,25579,"INFLUÊNCIA DO MEIO AMBIENTE",OPERACIONAL,***,OPERACIONAL,,2015-06-19
11156,26722,"JULGAMENTO DE PILOTAGEM",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10994,25579,"SUPERVISÃO GERENCIAL",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10749,22580,"APLICAÇÃO DE COMANDOS",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10750,22580,"JULGAMENTO DE PILOTAGEM",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10751,22580,"PLANEJAMENTO DE VOO",OPERACIONAL,***,OPERACIONAL,,2015-06-19
11531,29917,"JULGAMENTO DE PILOTAGEM",OPERACIONAL,***,OPERACIONAL,,2015-06-19
11529,29917,"CONDIÇÕES METEOROLÓGICAS ADVERSAS",OPERACIONAL,***,OPERACIONAL,,2015-06-19
11530,29917,"APLICAÇÃO DE COMANDOS",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10744,22519,"PLANEJAMENTO DE VOO",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10742,22519,"SUPERVISÃO GERENCIAL",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10743,22519,"MANUTENÇÃO DE AERONAVE",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10747,22559,"JULGAMENTO DE PILOTAGEM",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10745,22559,"APLICAÇÃO DE COMANDOS",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10748,22559,"INDISCIPLINA DE VOO",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10746,22559,"SUPERVISÃO GERENCIAL",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10870,24819,"JULGAMENTO DE PILOTAGEM",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10868,24819,"INFRAESTRUTURA AEROPORTUÁRIA",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10871,24819,INSTRUÇÃO,OPERACIONAL,***,OPERACIONAL,,2015-06-19
10869,24819,"SUPERVISÃO GERENCIAL",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10867,24819,"CONDIÇÕES METEOROLÓGICAS ADVERSAS",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10884,24863,"SUPERVISÃO GERENCIAL",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10885,24863,"JULGAMENTO DE PILOTAGEM",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10886,24863,"INDISCIPLINA DE VOO",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10787,23179,"SUPERVISÃO GERENCIAL",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10788,23179,"MANUTENÇÃO DE AERONAVE",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10763,22679,"APLICAÇÃO DE COMANDOS",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10766,22679,"PLANEJAMENTO DE VOO",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10764,22679,"JULGAMENTO DE PILOTAGEM",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10765,22679,"POUCA EXPERIÊNCIA DO PILOTO",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10781,23019,"PROCESSO DECISÓRIO",PSICOLÓGICO,INDIVIDUAL,HUMANO,,2015-06-19
