codigo_ocorrencia,classificacao,tipo,localidade,uf,pais,aerodromo,dia_ocorrencia,horario_utc,sera_investigada,comando_investigador,status_investigacao,numero_relatorio,relatorio_publicado,dia_publicacao,quantidade_recomendacoes,aeronaves_envolvidas,saida_pista,dia_extracao
50313,"INCIDENTE GRAVE","POUSO SEM TREM",CACOAL,RO,BRASIL,SSKW,2013-11-25,12:32:00,SIM,SERIPA-7,FINALIZADA,IG-209/CENIPA/2013,1,2014-04-07,0,1,NULL,2015-06-19
34078,ACIDENTE,"PERDA DE CONTROLE NO SOLO",CEREJEIRAS,RO,BRASIL,****,2008-08-07,15:10:00,SIM,CENIPA,ATIVA,"A DEFINIR",NULL,NULL,0,1,NULL,2015-06-19
44988,ACIDENTE,"POUSO LONGO",AMAJARI,RR,BRASIL,****,2011-08-11,17:00:00,SIM,SERIPA-7,FINALIZADA,A-105/CENIPA/2012,1,2012-09-20,4,1,NULL,2015-06-19
38855,ACIDENTE,"PERDA DE CONTROLE EM VOO",ACEGUÁ,RS,BRASIL,****,2009-12-28,17:30:00,SIM,SERIPA-5,ATIVA,"A DEFINIR",NULL,NULL,0,1,NULL,2015-06-19
34515,ACIDENTE,"FALHA DO MOTOR EM VOO","ALTO ALEGRE",RR,BRASIL,****,2008-11-16,12:25:00,SIM,SERIPA-7,ATIVA,"A DEFINIR",NULL,NULL,0,1,NULL,2015-06-19
45940,ACIDENTE,INDETERMINADA,"ALTO ALEGRE",RR,BRASIL,****,2010-06-09,13:00:00,SIM,SERIPA-7,ATIVA,"A DEFINIR",NULL,NULL,0,1,NULL,2015-06-19
45280,ACIDENTE,"FALHA DO MOTOR EM VOO","ALTO ALEGRE",RR,BRASIL,****,2011-11-22,16:40:00,SIM,SERIPA-1,FINALIZADA,A-038/CENIPA/2013,1,2013-08-22,2,1,NULL,2015-06-19
43063,ACIDENTE,"PERDA DE CONTROLE EM VOO","ALTO ALEGRE",RR,BRASIL,****,2010-09-21,17:10:00,SIM,SERIPA-7,FINALIZADA,A-044/CENIPA/2012,1,2012-06-04,2,1,NULL,2015-06-19
44316,ACIDENTE,"PERDA DE CONTROLE EM VOO","ALTO ALEGRE",RR,BRASIL,****,2011-04-06,20:25:00,SIM,SERIPA-7,FINALIZADA,A-025/CENIPA/2013,1,2013-07-30,2,1,NULL,2015-06-19
46201,ACIDENTE,"COM TREM DE POUSO","ALTO ALEGRE",RR,BRASIL,****,2012-08-01,16:20:00,SIM,SERIPA-7,FINALIZADA,A-130/CENIPA/2013,1,2014-08-15,1,1,NULL,2015-06-19
